,score,n_estimators,max_depth,min_samples_leaf,penalty,C,rand
0,0.49324324324324326,10,15,1,l1,0.5,0
1,0.43243243243243246,10,15,1,l1,0.5,1
2,0.38513513513513514,10,15,1,l1,0.5,2
3,0.41216216216216217,10,15,1,l1,0.5,3
4,0.4864864864864865,10,15,1,l1,1.0,0
5,0.38513513513513514,10,15,1,l1,1.0,2
6,0.4594594594594595,10,15,1,l1,1.0,4
7,0.41216216216216217,10,15,1,l1,1.0,6
8,0.4864864864864865,10,15,1,l1,1.5,0
9,0.39864864864864863,10,15,1,l1,1.5,3
10,0.41216216216216217,10,15,1,l1,1.5,6
11,0.43243243243243246,10,15,1,l1,1.5,9
12,0.49324324324324326,10,15,1,l2,0.5,0
13,0.4594594594594595,10,15,1,l2,0.5,4
14,0.4391891891891892,10,15,1,l2,0.5,8
15,0.5067567567567568,10,15,1,l2,0.5,12
16,0.49324324324324326,10,15,1,l2,1.0,0
17,0.4864864864864865,10,15,1,l2,1.0,5
18,0.4797297297297297,10,15,1,l2,1.0,10
19,0.43243243243243246,10,15,1,l2,1.0,15
20,0.5067567567567568,10,15,1,l2,1.5,0
21,0.39864864864864863,10,15,1,l2,1.5,6
22,0.49324324324324326,10,15,1,l2,1.5,12
23,0.3918918918918919,10,15,1,l2,1.5,18
24,0.4797297297297297,10,15,2,l1,0.5,0
25,0.4527027027027027,10,15,2,l1,0.5,7
26,0.4189189189189189,10,15,2,l1,0.5,14
27,0.40540540540540543,10,15,2,l1,0.5,21
28,0.4864864864864865,10,15,2,l1,1.0,0
29,0.38513513513513514,10,15,2,l1,1.0,8
30,0.43243243243243246,10,15,2,l1,1.0,16
31,0.4864864864864865,10,15,2,l1,1.0,24
32,0.4864864864864865,10,15,2,l1,1.5,0
33,0.4527027027027027,10,15,2,l1,1.5,9
34,0.40540540540540543,10,15,2,l1,1.5,18
35,0.39864864864864863,10,15,2,l1,1.5,27
36,0.46621621621621623,10,15,2,l2,0.5,0
37,0.4527027027027027,10,15,2,l2,0.5,10
38,0.46621621621621623,10,15,2,l2,0.5,20
39,0.3716216216216216,10,15,2,l2,0.5,30
40,0.4594594594594595,10,15,2,l2,1.0,0
41,0.5,10,15,2,l2,1.0,11
42,0.4864864864864865,10,15,2,l2,1.0,22
43,0.47297297297297297,10,15,2,l2,1.0,33
44,0.4594594594594595,10,15,2,l2,1.5,0
45,0.4864864864864865,10,15,2,l2,1.5,12
46,0.49324324324324326,10,15,2,l2,1.5,24
47,0.49324324324324326,10,15,2,l2,1.5,36
48,0.4391891891891892,10,25,1,l1,0.5,0
49,0.3918918918918919,10,25,1,l1,0.5,13
50,0.46621621621621623,10,25,1,l1,0.5,26
51,0.36486486486486486,10,25,1,l1,0.5,39
52,0.4391891891891892,10,25,1,l1,1.0,0
53,0.46621621621621623,10,25,1,l1,1.0,14
54,0.49324324324324326,10,25,1,l1,1.0,28
55,0.4594594594594595,10,25,1,l1,1.0,42
56,0.46621621621621623,10,25,1,l1,1.5,0
57,0.46621621621621623,10,25,1,l1,1.5,15
58,0.3918918918918919,10,25,1,l1,1.5,30
59,0.4527027027027027,10,25,1,l1,1.5,45
60,0.4594594594594595,10,25,1,l2,0.5,0
61,0.4391891891891892,10,25,1,l2,0.5,16
62,0.46621621621621623,10,25,1,l2,0.5,32
63,0.4527027027027027,10,25,1,l2,0.5,48
64,0.4594594594594595,10,25,1,l2,1.0,0
65,0.4594594594594595,10,25,1,l2,1.0,17
66,0.5135135135135135,10,25,1,l2,1.0,34
67,0.46621621621621623,10,25,1,l2,1.0,51
68,0.4527027027027027,10,25,1,l2,1.5,0
69,0.40540540540540543,10,25,1,l2,1.5,18
70,0.4594594594594595,10,25,1,l2,1.5,36
71,0.36486486486486486,10,25,1,l2,1.5,54
72,0.47297297297297297,10,25,2,l1,0.5,0
73,0.4797297297297297,10,25,2,l1,0.5,19
74,0.47297297297297297,10,25,2,l1,0.5,38
75,0.42567567567567566,10,25,2,l1,0.5,57
76,0.4797297297297297,10,25,2,l1,1.0,0
77,0.4797297297297297,10,25,2,l1,1.0,20
78,0.32432432432432434,10,25,2,l1,1.0,40
79,0.3918918918918919,10,25,2,l1,1.0,60
80,0.4797297297297297,10,25,2,l1,1.5,0
81,0.42567567567567566,10,25,2,l1,1.5,21
82,0.49324324324324326,10,25,2,l1,1.5,42
83,0.42567567567567566,10,25,2,l1,1.5,63
84,0.49324324324324326,10,25,2,l2,0.5,0
85,0.5202702702702703,10,25,2,l2,0.5,22
86,0.39864864864864863,10,25,2,l2,0.5,44
87,0.4594594594594595,10,25,2,l2,0.5,66
88,0.5,10,25,2,l2,1.0,0
89,0.4594594594594595,10,25,2,l2,1.0,23
90,0.4527027027027027,10,25,2,l2,1.0,46
91,0.4391891891891892,10,25,2,l2,1.0,69
92,0.4864864864864865,10,25,2,l2,1.5,0
93,0.4864864864864865,10,25,2,l2,1.5,24
94,0.46621621621621623,10,25,2,l2,1.5,48
95,0.5067567567567568,10,25,2,l2,1.5,72
96,0.5202702702702703,150,15,1,l1,0.5,0
97,0.5202702702702703,150,15,1,l1,0.5,25
98,0.5135135135135135,150,15,1,l1,0.5,50
99,0.4797297297297297,150,15,1,l1,0.5,75
100,0.5202702702702703,150,15,1,l1,1.0,0
101,0.4864864864864865,150,15,1,l1,1.0,26
102,0.5,150,15,1,l1,1.0,52
103,0.4864864864864865,150,15,1,l1,1.0,78
104,0.5202702702702703,150,15,1,l1,1.5,0
105,0.4797297297297297,150,15,1,l1,1.5,27
106,0.46621621621621623,150,15,1,l1,1.5,54
107,0.4797297297297297,150,15,1,l1,1.5,81
108,0.5337837837837838,150,15,1,l2,0.5,0
109,0.5,150,15,1,l2,0.5,28
110,0.5135135135135135,150,15,1,l2,0.5,56
111,0.5540540540540541,150,15,1,l2,0.5,84
112,0.5337837837837838,150,15,1,l2,1.0,0
113,0.5,150,15,1,l2,1.0,29
114,0.5067567567567568,150,15,1,l2,1.0,58
115,0.4527027027027027,150,15,1,l2,1.0,87
116,0.527027027027027,150,15,1,l2,1.5,0
117,0.42567567567567566,150,15,1,l2,1.5,30
118,0.4189189189189189,150,15,1,l2,1.5,60
119,0.5067567567567568,150,15,1,l2,1.5,90
120,0.527027027027027,150,15,2,l1,0.5,0
121,0.4189189189189189,150,15,2,l1,0.5,31
122,0.5540540540540541,150,15,2,l1,0.5,62
123,0.4594594594594595,150,15,2,l1,0.5,93
124,0.5337837837837838,150,15,2,l1,1.0,0
125,0.4391891891891892,150,15,2,l1,1.0,32
126,0.4864864864864865,150,15,2,l1,1.0,64
127,0.5472972972972973,150,15,2,l1,1.0,96
128,0.5337837837837838,150,15,2,l1,1.5,0
129,0.43243243243243246,150,15,2,l1,1.5,33
130,0.5337837837837838,150,15,2,l1,1.5,66
131,0.5472972972972973,150,15,2,l1,1.5,99
132,0.5067567567567568,150,15,2,l2,0.5,0
133,0.5067567567567568,150,15,2,l2,0.5,34
134,0.4391891891891892,150,15,2,l2,0.5,68
135,0.4864864864864865,150,15,2,l2,0.5,102
136,0.5202702702702703,150,15,2,l2,1.0,0
137,0.5067567567567568,150,15,2,l2,1.0,35
138,0.5202702702702703,150,15,2,l2,1.0,70
139,0.5067567567567568,150,15,2,l2,1.0,105
140,0.5337837837837838,150,15,2,l2,1.5,0
141,0.5202702702702703,150,15,2,l2,1.5,36
142,0.527027027027027,150,15,2,l2,1.5,72
143,0.5067567567567568,150,15,2,l2,1.5,108
144,0.5337837837837838,150,25,1,l1,0.5,0
145,0.4797297297297297,150,25,1,l1,0.5,37
146,0.5405405405405406,150,25,1,l1,0.5,74
147,0.49324324324324326,150,25,1,l1,0.5,111
148,0.5337837837837838,150,25,1,l1,1.0,0
149,0.4797297297297297,150,25,1,l1,1.0,38
150,0.527027027027027,150,25,1,l1,1.0,76
151,0.5405405405405406,150,25,1,l1,1.0,114
152,0.527027027027027,150,25,1,l1,1.5,0
153,0.4391891891891892,150,25,1,l1,1.5,39
154,0.5,150,25,1,l1,1.5,78
155,0.5067567567567568,150,25,1,l1,1.5,117
156,0.5202702702702703,150,25,1,l2,0.5,0
157,0.49324324324324326,150,25,1,l2,0.5,40
158,0.4527027027027027,150,25,1,l2,0.5,80
159,0.47297297297297297,150,25,1,l2,0.5,120
160,0.527027027027027,150,25,1,l2,1.0,0
161,0.46621621621621623,150,25,1,l2,1.0,41
162,0.5135135135135135,150,25,1,l2,1.0,82
163,0.5337837837837838,150,25,1,l2,1.0,123
164,0.527027027027027,150,25,1,l2,1.5,0
165,0.5608108108108109,150,25,1,l2,1.5,42
166,0.5608108108108109,150,25,1,l2,1.5,84
167,0.42567567567567566,150,25,1,l2,1.5,126
168,0.5405405405405406,150,25,2,l1,0.5,0
169,0.5337837837837838,150,25,2,l1,0.5,43
170,0.5472972972972973,150,25,2,l1,0.5,86
171,0.5135135135135135,150,25,2,l1,0.5,129
172,0.5405405405405406,150,25,2,l1,1.0,0
173,0.40540540540540543,150,25,2,l1,1.0,44
174,0.5472972972972973,150,25,2,l1,1.0,88
175,0.5472972972972973,150,25,2,l1,1.0,132
176,0.5472972972972973,150,25,2,l1,1.5,0
177,0.5337837837837838,150,25,2,l1,1.5,45
178,0.5,150,25,2,l1,1.5,90
179,0.47297297297297297,150,25,2,l1,1.5,135
180,0.5067567567567568,150,25,2,l2,0.5,0
181,0.5067567567567568,150,25,2,l2,0.5,46
182,0.5675675675675675,150,25,2,l2,0.5,92
183,0.5067567567567568,150,25,2,l2,0.5,138
184,0.5202702702702703,150,25,2,l2,1.0,0
185,0.5135135135135135,150,25,2,l2,1.0,47
186,0.4594594594594595,150,25,2,l2,1.0,94
187,0.5202702702702703,150,25,2,l2,1.0,141
188,0.5337837837837838,150,25,2,l2,1.5,0
189,0.4797297297297297,150,25,2,l2,1.5,48
190,0.5608108108108109,150,25,2,l2,1.5,96
191,0.527027027027027,150,25,2,l2,1.5,144
192,0.5135135135135135,200,15,1,l1,0.5,0
193,0.5743243243243243,200,15,1,l1,0.5,49
194,0.5135135135135135,200,15,1,l1,0.5,98
195,0.40540540540540543,200,15,1,l1,0.5,147
196,0.527027027027027,200,15,1,l1,1.0,0
197,0.5135135135135135,200,15,1,l1,1.0,50
198,0.5,200,15,1,l1,1.0,100
199,0.40540540540540543,200,15,1,l1,1.0,150
200,0.527027027027027,200,15,1,l1,1.5,0
201,0.46621621621621623,200,15,1,l1,1.5,51
202,0.4797297297297297,200,15,1,l1,1.5,102
203,0.46621621621621623,200,15,1,l1,1.5,153
204,0.5337837837837838,200,15,1,l2,0.5,0
205,0.5135135135135135,200,15,1,l2,0.5,52
206,0.5405405405405406,200,15,1,l2,0.5,104
207,0.46621621621621623,200,15,1,l2,0.5,156
208,0.5202702702702703,200,15,1,l2,1.0,0
209,0.5,200,15,1,l2,1.0,53
210,0.4527027027027027,200,15,1,l2,1.0,106
211,0.5067567567567568,200,15,1,l2,1.0,159
212,0.5135135135135135,200,15,1,l2,1.5,0
213,0.5,200,15,1,l2,1.5,54
214,0.5,200,15,1,l2,1.5,108
215,0.581081081081081,200,15,1,l2,1.5,162
216,0.5337837837837838,200,15,2,l1,0.5,0
217,0.4864864864864865,200,15,2,l1,0.5,55
218,0.42567567567567566,200,15,2,l1,0.5,110
219,0.5337837837837838,200,15,2,l1,0.5,165
220,0.5337837837837838,200,15,2,l1,1.0,0
221,0.5067567567567568,200,15,2,l1,1.0,56
222,0.4594594594594595,200,15,2,l1,1.0,112
223,0.4391891891891892,200,15,2,l1,1.0,168
224,0.5337837837837838,200,15,2,l1,1.5,0
225,0.43243243243243246,200,15,2,l1,1.5,57
226,0.527027027027027,200,15,2,l1,1.5,114
227,0.5202702702702703,200,15,2,l1,1.5,171
228,0.5202702702702703,200,15,2,l2,0.5,0
229,0.5202702702702703,200,15,2,l2,0.5,58
230,0.5472972972972973,200,15,2,l2,0.5,116
231,0.5608108108108109,200,15,2,l2,0.5,174
232,0.5405405405405406,200,15,2,l2,1.0,0
233,0.4189189189189189,200,15,2,l2,1.0,59
234,0.5675675675675675,200,15,2,l2,1.0,118
235,0.39864864864864863,200,15,2,l2,1.0,177
236,0.5405405405405406,200,15,2,l2,1.5,0
237,0.4391891891891892,200,15,2,l2,1.5,60
238,0.4797297297297297,200,15,2,l2,1.5,120
239,0.5337837837837838,200,15,2,l2,1.5,180
240,0.5405405405405406,200,25,1,l1,0.5,0
241,0.4527027027027027,200,25,1,l1,0.5,61
242,0.47297297297297297,200,25,1,l1,0.5,122
243,0.4189189189189189,200,25,1,l1,0.5,183
244,0.5405405405405406,200,25,1,l1,1.0,0
245,0.5608108108108109,200,25,1,l1,1.0,62
246,0.4391891891891892,200,25,1,l1,1.0,124
247,0.47297297297297297,200,25,1,l1,1.0,186
248,0.5337837837837838,200,25,1,l1,1.5,0
249,0.4594594594594595,200,25,1,l1,1.5,63
250,0.42567567567567566,200,25,1,l1,1.5,126
251,0.4797297297297297,200,25,1,l1,1.5,189
252,0.5405405405405406,200,25,1,l2,0.5,0
253,0.5135135135135135,200,25,1,l2,0.5,64
254,0.5,200,25,1,l2,0.5,128
255,0.4864864864864865,200,25,1,l2,0.5,192
256,0.5337837837837838,200,25,1,l2,1.0,0
257,0.5743243243243243,200,25,1,l2,1.0,65
